Data Extraída,Valor Total,Objeto,Data de Celebração,Objetivo
14 de abril de 2024,250000.0,"com vistas a Contratação de Empresa para  patrocínio referente ao Projeto EMPREENDE PIAUI RENDEIRAS DA ILHA, que será exibido na data de 14 de abril de 2024, em TV ABERTA.",2024-04-03,"Referente ao   patrocínio referente ao Projeto EMPREENDE PIAUI RENDEIRAS DA ILHA, que será exibido na data de 14 de abril de 2024, em TV ABERTA."
14/11/2023,250000.0,"Evento PADRE FÁBIO DE MELO NA CIDADE DE COCAL ¿ PI, NO DIA  14/11/2023.",2023-11-13,"Evento PADRE FÁBIO DE MELO NA CIDADE DE COCAL ¿ PI, NO DIA  14/11/2023"
26 de MAIO de 2024,250000.0,"MARIARTE 2024 - CULTURA, ARTE E DEVOÇÃO",2024-05-24,"PATROCÍNIO DO PROJETO MARIARTE 2024 - CULTURA, ARTE E DEVOÇÃO, A SER REALIZADO NA PRAÇA PÚBLICA DO BAIRRO PROMORAR - TERESINA/PI, NO DIA 26 DE MAIO DE 2024."
05 de Julho de 2024,250000.0,"PATROCÍNIO AO PROJETO ESPERANÇAR TERESINA, INAUGURAÇÃO DO INSTITUTO VAMOS JUNTOS, NO MUNICÍPIO DE TERESINA(PI).",2024-07-04,"Concessão de patrocínio para a realização do evento Esperançar Teresina - Inauguração do Instituto Vamos Juntos, a ser realizado no dia 05 de Julho de 2024, no município de Teresina(PI)."
27 de MARÇO de 2024,250000.0,"PATROCÍNIO AO PROJETO ""SEMANA NACIONAL DO TEATRO E DO CIRCO DE TERESINA - SENTHE 2024"", NO MUNICÍPIO DE TERESINA(PI)",2024-03-19,"PATROCÍNIO PARA A REALIZAÇÃO DO EVENTO PROJETO SEMANA NACIONAL DO TEATRO E CIRCO - SENTHE, A SER REALIZADO NO PERÍODO DE 21 A 27 DE MARÇO DE 2024, NO MUNICÍPÍO DE TERESINA(PI)."
30 de DEZEMBRO de 2023,250000.0,"PATROCÍNIO DO FESTIVAL VEM PARA O PORTO  PORTO DAS BARCAS, EM PARNAÍBA - PI, SENDO REALIZADO NO PERÍODO DE 28 A 30 DE DEZEMBRO DE 2023 E 04 A 06 DE JANEIRO DE 2024, EM ESPAÇO PÚBLICO, TEM COMO OBJETIVO REALIZAR UM EVENTO COM GRANDE POTENCIAL DE DESENVOLVIMENTO ECONÔMICO E CULTURAL. O FESTIVAL VEM PARA O PORTO PROPORCIONARÁ PARA TODA POPULAÇÃO PARNAIBANA UMA VASTA PROGRAMAÇÃO QUE REUNIRÁ ENTRETENIMENTO E LAZER ATRAVÉS DA APRESENTAÇÃO DE ATIVIDADES INTEGRADAS NAS ÁREAS DA MUSEOLOGIA, CULTURAPOPULAR, ARTESANATO, GASTRONOMIA, IMPULSIONANDO GERAÇÃO DE RENDA ATRAVÉS DA CULTURA CRIATIVA E O TURISMO.",,"PATROCÍNIO DO FESTIVAL VEM PARA O PORTO  PORTO DAS BARCAS, EM PARNAÍBA - PI, SENDO REALIZADO NO PERÍODO DE 28 A 30 DE DEZEMBRO DE 2023 E 04 A 06 DE JANEIRO DE 2024, EM ESPAÇO PÚBLICO, TEM COMO OBJETIVO REALIZAR UM EVENTO COM GRANDE POTENCIAL DE DESENVOLVIMENTO ECONÔMICO E CULTURAL. O FESTIVAL VEM PARA O PORTO PROPORCIONARÁ PARA TODA POPULAÇÃO PARNAIBANA UMA VASTA PROGRAMAÇÃO QUE REUNIRÁ ENTRETENIMENTO E LAZER ATRAVÉS DA APRESENTAÇÃO DE ATIVIDADES INTEGRADAS NAS ÁREAS DA MUSEOLOGIA, CULTURAPOPULAR, ARTESANATO, GASTRONOMIA, IMPULSIONANDO GERAÇÃO DE RENDA ATRAVÉS DA CULTURA CRIATIVA E O TURISMO."
06 de JANEIRO de 2024,250000.0,"PATROCÍNIO DO FESTIVAL VEM PARA O PORTO  PORTO DAS BARCAS, EM PARNAÍBA - PI, SENDO REALIZADO NO PERÍODO DE 28 A 30 DE DEZEMBRO DE 2023 E 04 A 06 DE JANEIRO DE 2024, EM ESPAÇO PÚBLICO, TEM COMO OBJETIVO REALIZAR UM EVENTO COM GRANDE POTENCIAL DE DESENVOLVIMENTO ECONÔMICO E CULTURAL. O FESTIVAL VEM PARA O PORTO PROPORCIONARÁ PARA TODA POPULAÇÃO PARNAIBANA UMA VASTA PROGRAMAÇÃO QUE REUNIRÁ ENTRETENIMENTO E LAZER ATRAVÉS DA APRESENTAÇÃO DE ATIVIDADES INTEGRADAS NAS ÁREAS DA MUSEOLOGIA, CULTURAPOPULAR, ARTESANATO, GASTRONOMIA, IMPULSIONANDO GERAÇÃO DE RENDA ATRAVÉS DA CULTURA CRIATIVA E O TURISMO.",,"PATROCÍNIO DO FESTIVAL VEM PARA O PORTO  PORTO DAS BARCAS, EM PARNAÍBA - PI, SENDO REALIZADO NO PERÍODO DE 28 A 30 DE DEZEMBRO DE 2023 E 04 A 06 DE JANEIRO DE 2024, EM ESPAÇO PÚBLICO, TEM COMO OBJETIVO REALIZAR UM EVENTO COM GRANDE POTENCIAL DE DESENVOLVIMENTO ECONÔMICO E CULTURAL. O FESTIVAL VEM PARA O PORTO PROPORCIONARÁ PARA TODA POPULAÇÃO PARNAIBANA UMA VASTA PROGRAMAÇÃO QUE REUNIRÁ ENTRETENIMENTO E LAZER ATRAVÉS DA APRESENTAÇÃO DE ATIVIDADES INTEGRADAS NAS ÁREAS DA MUSEOLOGIA, CULTURAPOPULAR, ARTESANATO, GASTRONOMIA, IMPULSIONANDO GERAÇÃO DE RENDA ATRAVÉS DA CULTURA CRIATIVA E O TURISMO."
27 de MARÇO de 2023,250000.0,"PATROCÍNIO PARA REALIZAÇÃO DA SEMANA NACIONAL DO TEATRO E DO CIRCO DE TERESINA - SENTHE, EM TERESINA(PI)",2023-03-21,"PATROCÍNIO PARA REALIZAÇÃO DA SEMANA NACIONAL DO TEATRO E DO CIRCO DE TERESINA - SENTHE, A SER REALIZADO NO PERÍODO DE 23 A 27 DE MARÇO DE 2023, NA ÁREA EM FRENTE AO TEAREO 4 DE SETEMBRO, NO TEATRO TORQUATO NETO, NA GALERIA DE ARTE ""NONATO OLIVEIRA, ALÉM DO ESPAÇO CULTURAL ""OSÓRIO JUNIOR, EM TERESINA(PI)."
07 de DEZEMBRO de 2023,250000.0,"PATROCÍNIO REFERENTE AO PROJETO: CARAVANA RABECA DE NATAL,A SER REALIZADO NAS CIDADES :TERESINA , CRISTINO CASTRO ,CURRAIS E  BOM JESUS-PI. COM ESPETÁCULOS DE MÚSICA, DANÇA E TEATRO.",,"PATROCÍNIO REFERENTE AO PROJETO: CARAVANA RABECA DE NATAL,A SER REALIZADO NAS CIDADES :TERESINA , CRISTINO CASTRO ,CURRAIS E  BOM JESUS-PI. COM ESPETÁCULOS DE MÚSICA, DANÇA E TEATRO. NO PERÍODO DE 07 DE DEZEMBRO DE 2023 A 06 DE JANEIRO DE 2024."
06 de JANEIRO de 2024,250000.0,"PATROCÍNIO REFERENTE AO PROJETO: CARAVANA RABECA DE NATAL,A SER REALIZADO NAS CIDADES :TERESINA , CRISTINO CASTRO ,CURRAIS E  BOM JESUS-PI. COM ESPETÁCULOS DE MÚSICA, DANÇA E TEATRO.",,"PATROCÍNIO REFERENTE AO PROJETO: CARAVANA RABECA DE NATAL,A SER REALIZADO NAS CIDADES :TERESINA , CRISTINO CASTRO ,CURRAIS E  BOM JESUS-PI. COM ESPETÁCULOS DE MÚSICA, DANÇA E TEATRO. NO PERÍODO DE 07 DE DEZEMBRO DE 2023 A 06 DE JANEIRO DE 2024."
