Data Extraída,Valor Total,Objeto,Data de Celebração,Objetivo
26 de MARÇO de 2024,30000.0,"PATROCÍNIO AO PROJETO ""PAIXÃO DE CRISTO - VIDA, PAIXÃO E RESSURREIÇÃO DE JESUS, NO MUNICÍPIO DE VALENÇA(PI)",2023-03-25,"PATROCÍNIO PARA REALIZAÇÃO DO EVENTO PAIXÃO DE CRISTO - VIDA, PAIXÃO E RESSURREIÇÃO DE JESUS, A SER REALIZADO NO DIA 26 DE MARÇO DE 2024, NO MUNICÍPIO DE VALENÇA(PI)."
24 de MARÇO de 2024,30000.0,"PATROCÍNIO AO PROJETO VIA DOLOROSA: PAIXÃO E MORTE DE CRISTO 2ª EDIÇÃO-2024, NO MUNICÍPIO DE PORTO ALEGRE DO PIAUÍ",2024-03-22,"PATROCÍNIO PARA REALIZAÇÃO DO EVENTO VIA DOLOROSA: PAIXÃO E MORTE DE CRISTO - 2ª EDIÇÃO, A SER REALIZADO NO DIA 24 DE MARÇO DE 2024, NO MUNICÍPIO DE PORTO ALEGRE DO PIAUÍ(PI)."
29 de MARÇO de 2024,30000.0,"PATROCÍNIO REFERENTE AO PROJETO PAIXÃO DE CRISTO - A VIA SACRA DO PIAUÍ 2024, NO MUNICÍPIO DE TERESINA(PI)",2024-03-26,"PATROCÍNIO PARA REALIZAÇÃO DO EVENTO: PAIXÃO DE CRISTO - A VIA SACRA DO PIAUÍ 2024, A SER REALIZADO NO PERÍODO DE 27 A 29 DE MARÇO DE 2024, NO MUNICÍPIO DE TERESINA(PI)."
06 de ABRIL de 2024,30000.0,"PATROCÍNIO REFERENTE AO PROJETO PAIXÃO DE CRISTO DO CIDADE JARDIM, NO MUNICÍPIO DE TERESINA(PI)",2024-03-23,"PATROCÍNIO PARA REALIZAÇÃO DO EVENTO PAIXÃO DE CRISTO DO CIDADE JARDIM, A SER REALIZADO NO DIA 06 DE ABRIL DE 2024, NO MUNICÍPIO DE TERESINA(PI)."
08 de junho de 2024,40000.0,APRESENTAÇÃO DO CANTOR WALDO RAMOS NOS FESTEJOS DO MUNICÍPIO DE NAZÁRIA/PI,2024-06-05,"Apresentação artística do CANTOR WALDO RAMOS, no dia 08 de junho de 2024, nos Festejos do Sagrado Coração de Jesus no município de Nazaria ¿PI."
30 de JUNHO de 2024,40000.0,Apresentação DUDU NOGUEIRA nos FESTEJOS DO SAGRADO CORAÇÃO DE JESUS - PATOS/PI,2024-06-18,"Apresentação da banda DUDU NOGUEIRA no encerramento dos FESTEJOS DO SAGRADO CORAÇÃO, município de PATOS/PI, que acontecerá no dia 30 de JUNHO de 2024."
18 de FEVEREIRO de 2023,40000.0,"CARNAVAL DE BARRAS, NO MUNICÍPIO DE BARRAS(PI)",2023-02-16,"REALIZAÇÃO DO CARNAVAL DE BARRAS, NO MUNICÍPIO DE BARRAS(PI), DIA 18 DE FEVEREIRO DE 2023, COM  SHOW ARTISTICO DE DAMASIO NETO NA PRAÇA PRINCIPAL DE BARRAS/PI"
31 de julho de 2024,40000.0,"concessão de patrocínio para a realização do evento Campeonato de Futsal Infanto-Juvenil, a ser realizado no período de 15 à 31 de julho de 2024. no município de Teresina-PI.",2024-06-18,"Concessão de patrocínio para a realização do evento Campeonato de Futsal Infanto-Juvenil, a ser realizado no período de 15 à 31 de julho de 2024."
27 de Dezembro de 2023,40000.0,"Contratação de serviços artísticos musical da banda/artista Damásio Neto para realização de apresentação artística (SHOW) em Cocal dos Alves/PI, no dia 27 de Dezembro de 2023",,"Contratação de serviços artísticos musical da banda/artista Damásio Neto para realização de apresentação artística (SHOW) em Cocal dos Alves/PI, no dia 27 de Dezembro de 2023"
21/10/2023,40000.0,¿FESTA DO LEITE CARAUBAS/PI  DAMÁSIO NETO - PIAUÍ DIA 21/10/2023,2023-10-20,"FESTA DO LEITE CARAUBAS/PI ¿ DAMÁSIO NETO - PIAUÍ DIA 21/10/2023,"
30 de maio de 2024,40000.0,"Realização de apresentação artística com a atração musical de:  JANAÍNA E BANDA, na oportunidade do evento -FESTEJOS JUNINOS DE VALENÇA DO PIAUÍ, que ocorrerá no dia 30 de maio de 2024.",2024-05-28,"Realização de apresentação artística com a atração musical de:  JANAÍNA E BANDA, na oportunidade do evento ¿FESTEJOS JUNINOS DE VALENÇA DO PIAUÍ¿, que ocorrerá no dia 30 de maio de 2024."
27 de MARÇO de 2024,41088.0,"PATROCÍNIO AO PROJETO ESPETÁCULO PAIXÃO DE CRISTO 2024, NO MUNICÍPIO DE OEIRAS(PI)",2024-03-26,"PATROCÍNIO PARA A REALIZAÇÃO DO EVENTO ESPETÁCULO PAIXÃO DE CRISTO 2024, A SER REALIZADO NO DIA 27 DE MARÇO DE 2024, NO MUNICÍPIO DE OEIRAS(PI)."
16 de MARÇO de 2024,45000.0,"a à apresentação musical da banda/artista DUDU NOGUEIRA na oportunidade dos REGATA DAS CANOAS 2024 da cidade de BURITI DOS LOPES/PI, que acontecerá dia 16 de MARÇO de 2024.",2024-03-08,"Apresentação musical da banda/artista DUDU NOGUEIRA na oportunidade dos REGATA DAS CANOAS 2024 da cidade de BURITI DOS LOPES/PI, que acontecerá dia 16 de MARÇO de 2024."
29 de ABRIL de 2024,45000.0,Apresentação do artista DUDU NOGUEIRA em CANAVIEIRA/PI,2024-04-29,"Apresentação musical da banda/artista DUDU NOGUEIRA na oportunidade do ANIVERSARIO da cidade de CANAVIEIRA/PI, que acontecerá dia 29 de ABRIL de 2024."
28 de ABRIL de 2024,45000.0,Apresentação do artista DUDU NOGUEIRA em VARZEA BRANCA/PI,2024-04-26,"Apresentação musical da banda/artista DUDU NOGUEIRA na oportunidade do ANIVERSARIO da cidade de VARZEA BRANCA/PI, que acontecerá dia 28 de ABRIL de 2024."
01 de MAIO de 2024,45000.0,FESTA DO TRABALHADOR no município de DIRCEU ARCOVERDE/PI,2024-04-29,"FESTA DO TRABALHADOR do município de DIRCEU ARCOVERDE/PI, que será realizado no dia 01 de MAIO de 2024"
12 de MAIO de 2024,45000.0,FESTEJOS do município de DIRCEU ARCOVERDE/PI,2024-05-03,"FESTEJOS do município de DIRCEU ARCOVERDE/PI, que será realizado no dia 12 de MAIO de 2024"
23 de JULHO de 2024,50000.0,"à apresentação musical da banda/artista FAFÁ SANTANA na oportunidade do 15° FESTIVAL CULTURAL BEIJA-FLOR DO SERTÃO em PIMENTEIRAS-PI, que acontecerá no dia 23 de JULHO de 2024.",2024-07-17,"à apresentação musical da banda/artista FAFÁ SANTANA na oportunidade do 15° FESTIVAL CULTURAL BEIJA-FLOR DO SERTÃO em PIMENTEIRAS-PI, que acontecerá no dia 23 de JULHO de 2024."
14 de dezembro de 2023,50000.0,ANIVERSÁRIO DA CIDADE DE SÃO GONÇALO DO GURGUÉIA(PI),,"Contratação de atrações musicais (bandas), para promoção de shows artísticos no evento: Aniversário da Cidade a ser realizado no dia 14 de dezembro de 2023, no município de São Gonçalo do Gurguéia(PI)."
24 de MAIO de 2023,50000.0,"ANIVERSÁRIO DE MIGUEL ALVES, NO MUNICÍPIO DE MIGUEL ALVES(PI)",2023-05-22,"REALIZAÇÃO DO ANIVERSÁRIO DE MIGUEL ALVES(PI), DIA 24 DE MAIO DE 2023, COM A ATRAÇÃO ARTÍSTICA(SHOW)DA BANDA FORRÓ BANDIDO, NA PRAÇA PÚBLICA DO MUNICÍPIO."
05 de JULHO de 2024,50000.0,APRESENTAÇÃO DA BANDA CH CANTOR NOS FESTEJOS DA COHAB - CASTELO DO PIAUI,2024-07-02,"CONTRATAÇÃO DA BANDA/ARTISTA CH CANTOR PARA APRESENTAÇÃO NOS FESTEJOS DA COHAB, NO MUNICÍPIO DE CASTELO DO PIAUÍ, QUE SERÁ REALIZADO NO DIA 05 DE JULHO DE 2024."
22 de JUNHO de 2024,50000.0,Apresentação da banda XENHENHEM na oportunidade dos FESTEJOS DE SÃO JOÃO DO PIAUÍ/PI,2024-05-10,"Apresentação artístico musical da banda XENHENHEM, na oportunidade dos FESTEJOS DE SÃO JOÃO DO PIAUÍ/PI, que acontecerá dia 22 de JUNHO de 2024."
15 de junho de 2024,50000.0,Apresentação da banda XENHENHEM no II FESTIVAL JUNINO DO RESTAURANTE NAZARIA,2024-05-10,"Apresentação artístico musical da banda XENHENHEM, na oportunidade do II FESTIVAL JUNINO DO RESTAURANTE NAZÁRIA, que acontecerá dia 15 de junho de 2024 no município de Nazária do Piauí/PI."
12 de JUNHO de 2024,50000.0,Apresentação da banda XENHENHEM nos Festejos da cidade de GUARIBAS DO PIAUI,2024-06-11,"Contratação direta da banda XENHENHEM, para apresentação nos FESTEJOS da cidade de GUARIBAS DO PIAUÍ/PI, que acontecerá dia 12 de JUNHO de 2024."
14 de JUNHO de 2024,50000.0,Apresentação da banda XENHENHEM nos Festejos da cidade de MONSENHOR GIL,2024-06-14,"Apresentação artístico musical da banda XENHENHEM, na oportunidade dos FESTEJOS da cidade de MONSENHOR GIL DO PIAUÍ/PI, que acontecerá dia 14 de JUNHO de 2024."
10 de MAIO de 2024,50000.0,Apresentação da banda XENHENHEM nos festejos do município de DIRCEU ARCOVERDE/PI,2024-05-10,"Apresentação artístico musical da banda XENHENHEM, na oportunidade dos FESTEJOS da cidade de DIRCEU ARCOVERDE/PI, que acontecerá dia 10 de MAIO de 2024."
24 de MAIO de 2024,50000.0,Apresentação da banda XENHENHEM nos festejos do município de JUREMA DO PIAUÍ/PI,2024-05-10,"Apresentação artístico musical da banda XENHENHEM, na oportunidade dos FESTEJOS da cidade de JUREMA DO PIAUÍ/PI, que acontecerá dia 24 de MAIO de 2024."
29 de ABRIL de 2024,50000.0,APRESENTAÇÃO DO ARTISTA ÁLVARO NETO NO ANIVERSÁRIO DA CIDADE DE CANAVIEIRA/PI,2024-04-18,"apresentação musical da banda/artista ÁLVARO NETO na oportunidade do ANIVERSÁRIO da cidade de CANAVIEIRA/PI, que acontecerá dia 29 de ABRIL de 2024."
09 de MAIO de 2024,50000.0,Apresentação do artista JOÃO PISADA nos festejos do município DIRCEU ARCOVERDE,2024-04-26,"Apresentação musical da banda/artista JOÃO PISADA na oportunidade dos FESTEJOS da cidade de DIRCEU ARCOVERDE/PI, que acontecerá dia 09 de MAIO de 2024."
19 de JULHO de 2024,50000.0,APRESENTAÇÃO DO ARTISTA JOAO PISADA NO VIVAMAR 2024 - AMARANTE/PI,2024-07-19,"CONTRATAÇÃO DA BANDA/ARTISTA JOÃO PISADA, PARA APRESENTAÇÃO NO VIVA MAR 2024, NO MUNICÍPIO DE AMARANTE-PI, QUE SERÁ REALIZADO EM 19 DE JULHO DE 2024. Nº 190/2024."
19 de Julho de 2024,50000.0,APRESENTAÇÃO FAFÁ SANTANA NA 40ª FESTA DO VAQUEIRO EM CONCEIÇÃO DO CANINDÉ/PI,2024-07-17,"Apresentação musical da banda/artista FAFÁ SANTANA na oportunidade do 40º FESTA DO VAQUEIRO em CONCEIÇÃO DO CANINDÉ-PI, que acontecerá no dia 19 de Julho de 2024."
13 de Julho de 2024,50000.0,APRESENTAÇÃO FAFÁ SANTANA NO ARRAIÁ DE NÓS TUDIM EM CURRAL NOVO DO PIAUÍ,2024-07-12,"Apresentação musical da banda/artista FAFÁ SANTANA na oportunidade do ARRAIÁ DE NÓS TUDIM em CURRAL NOVO DO PIAUÍ-PI, que acontecerá no dia 13 de Julho de 2024."
10 de MAIO de 2024,50000.0,Apresentação JOÃO PISADA nos FESTEJOS DE SÃO RAIMUNDO NONATO/PI,2024-05-09,"Apresentação musical da banda/artista JOÃO PISADA na oportunidade dos FESTEJOS da cidade de SÃO RAIMUNDO NONATO/PI, que acontecerá dia 10 de MAIO de 2024."
30 de JUNHO de 2024,50000.0,Apresentação XENHENHEM nos FESTEJOS DO SAGRADO CORAÇÃO DE JESUS NA CIDADE DE PATOS DO PAIUÍ/PI,2024-06-18,"Apresentação artístico-musical da banda XENHENHEM, nos FESTEJOS DO SAGRADO CORAÇÃO DE JESUS NA CIDADE DE PATOS DO PAIUÍ/PI, que acontecerá dia 30 de JUNHO de 2024."
19 de JULHO de 2024,50000.0,Apresentação XENHENHEM no XI BELARRAIÁ da cidade de BELÉM DO PIAUÍ/PI,2024-06-17,"Apresentação artístico-musical da banda XENHENHEM, no XI BELARRAIÁ da cidade de BELÉM DO PIAUÍ/PI, que acontecerá dia 19 de JULHO de 2024."
07 de JULHO de 2024,50000.0,Apresentação XENHENHEM no XXXI ENCONTRO DE TRADIÇÕES JUNINAS DE JOSÉ DE FREITAS/PI,2024-06-17,"Apresentação artístico-musical da banda XENHENHEM, na oportunidade do XXXI ENCONTRO DE TRADIÇÕES JUNINAS DE JOSÉ DE FREITAS/PI, que acontecerá dia 07 de JULHO de 2024."
13 de FEVEREIRO de 2024,50000.0,CARNAVAL DA CIDADE EM  VALENÇA DO PIAUÍ-PI,2024-02-09,"à apresentação musical da banda/artista FAFÁ SANTANA na oportunidade do CARNAVAL DA CIDADE em VALENÇA DO PIAUÍ-PI, que acontecerá no dia 13 de FEVEREIRO de 2024."
11/02/2024,50000.0,¿ Carnaval de Socorro do Piauí ¿,2024-02-09,REALIZAÇAO DE APRESENTAÇAO ARTISTICA DA BANDA EDY SACANA A SER REALIZADO NO MUNICIPIO DE SOCORRO DO PIAUI NO DIA 11/02/2024
13 de FEVEREIRO de 2024,50000.0,CARNAVAL DE VALENÇA DO PIAUÍ,2024-02-09,"à apresentação musical da artista EDY SACANA, na oportunidade do CARNAVAL DE VALENÇA DO PIAUÍ da cidade de VALENÇA DO PIAUÍ, que acontecera no dia 13 DE FEVEREIRO DE 2024."
02/02/2024,50000.0,CH Cantor - Nossa Senhora dos Remédios 02/02/2024,,CH Cantor - Nossa Senhora dos Remédios 02/02/2024
18 de NOVEMBRO de 2023,50000.0,circuito regional de vaquejada no parque Joaquim branco da cidade de INHUMA - PI,,"e à apresentação artísticomusical da banda XENHENHEM, na oportunidade da Final do circuito regional de vaquejada no parque Joaquim branco da cidade de INHUMA - PI acontecerá dia 18 de NOVEMBRO de 2023."
11 de JUNHO de 2023,50000.0,"FESTEJOS DE SANTO ANTÔNIO DOS MILAGRES, NO MUNICÍPIO DE SANTO ANTONIO DOS MILAGRES(PI)",2023-06-05,"FESTEJOS DE SANTO ANTÔNIO DOS MILAGRES, NO MUNICÍPIO DE SANTO ANTONIO DOS MILAGRES(PI), DIA 11 DE JUNHO DE 2023, COM A ATRAÇÃO ARTÍSTICA(SHOW) DA BANDA FORRÓ BANDIDO, NA PRAÇA PÚBLICA DO MUNICÍPIO."
28 de SETEMBRO de 2023,50000.0,FESTEJOS DE SÃO MIGUEL ARCANJO EM SANTO ANTÔNIO DOS MILAGRES(PI),2023-09-27,"CONTRATAÇÃO DE ATRAÇÕES MUSICAIS (BANDAS), PARA APRESENTAÇÃO DE SHOWS ARTÍSTICO NO EVENTO: FESTEJOS DE SÃO MIGUEL ARCANJO, NO DIA 28 DE SETEMBRO DE 2023, NO MUNICÍPIO DE SANTO ANTÔNIO DOS MILAGRES(PI)."
08 de DEZEMBRO de 2023,50000.0,"PATROCÍNIO REFERENTE AO PROJETO ""MAGIC DAY PAREDE 2023"", NO MUNICÍPIO DE TERESINA(PI)",,"PATROCÍNIO PARA REALIZAÇÃO DO EVENTO ""MAGIC DAY PAREDE 2023"" A SER REALIZADO NO DIA 08 DE DEZEMBRO DE 2023, NO MUNICÍPIO DE TERESINA(PI)."
17 de JULHO de 2024,50000.0,"PATROCÍNIO REFERENTE AO PROJETO MEMÓRIAS NAGÔ NO MEMORIAL ESPERANÇA GARCIA, NO MUNICÍPIO DE TERESINA(PI).",2024-07-04,"PATROCÍCIO PARA REALIZAÇÃO DO EVENTO: MEMÓRIAS NAGÔ, A SER REALIZADO NO DIA 17 DE JULHO DE 2024, NO MEMORIAL ESPERANÇA GARCIA, NO MUNICÍPIO DE TERESINA(PI)."
24 de MAIO de 2024,50000.0,"PATROCÍNIO REFERENTE AO PROJETO SEDA #7  SEMANA DE DANÇA NA ESCOLA, NO MUNICÍPIO DE TERESINA(PI)",2024-05-13,"CONCESSÃO DE PATROCÍNIO PARA A REALIZAÇÃO DO EVENTO SEDA #7 - SEMANA DE DANÇA NA ESCOLA, A SER REALIZADO NO PERÍODO DE 14 A 24 DE MAIO DE 2024, NO MUNICÍPIO DE TERESINA(PI)."
12 de FEVEREIRO de 2024,50000.0,"PROPOSTA REFERENTE A CONTRATAÇÃO MUSICAL DO ARTISTA EDY SACANA NO EVENTO CARNAVAL DE TERESINA, A SER REALIZADO NO DIA 12 DE FEVEREIRO DE 2024, NO MUNICIPIO DE TERESINA-PI.",2024-02-09,"PROPOSTA REFERENTE A CONTRATAÇÃO MUSICAL DO ARTISTA EDY SACANA NO EVENTO CARNAVAL DE TERESINA, A SER REALIZADO NO DIA 12 DE FEVEREIRO DE 2024, NO MUNICÍPIO DE TERESINA-PI."
08 de abril de 2024,50000.0,"referente à apresentação artísticomusical da banda XENHENHEM, na oportunidade do aniversário de 60 anos da cidade de SANTO ANTÔNIO DE LISBOA/PI, que acontecerá dia 08 de abril de 2024.",2024-04-08,"referente à apresentação artísticomusical da banda XENHENHEM, na oportunidade do aniversário de 60 anos da cidade de SANTO ANTÔNIO DE LISBOA/PI, que acontecerá dia 08 de abril de 2024."
04 de Maio de 2024,50000.0,"Referente a apresentação musical banda João Pisada na ""Festa do Vaqueiro "" no dia 04 de Maio de 2024 no município de Lagoa do Piauí - PI",2024-04-25,"Referente a apresentação musical banda João Pisada na ""Festa do Vaqueiro "" no dia 04 de Maio de 2024 no município de Lagoa do Piauí - PI"
11 de Maio de 2024,50000.0,"Referente a apresentação musical banda João Pisada na ""Festa do Vaqueiro "" no dia 11 de Maio de 2024 no município de Boqueirão - PI",2024-05-09,"Referente a apresentação musical banda João Pisada na ""Festa do Vaqueiro "" no dia 11 de Maio de 2024 no município de Boqueirão - PI"
04 de Maio de 2024,50000.0,"Referente a apresentação musical CH Cantor na ""Festa do Vaqueiro "" no dia 04 de Maio de 2024 no município de Lagoa do Piauí - PI",2024-04-25,"Referente a apresentação musical CH Cantor na ""Festa do Vaqueiro "" no dia 04 de Maio de 2024 no município de Lagoa do Piauí - PI"
02/02/2024,50000.0,THALIA FERREIRA - Nossa Senhora dos Remédios 02/02/2024,,THALIA FERREIRA - Nossa Senhora dos Remédios 02/02/2024
01 de DEZEMBRO de 2023,50000.0,XVII CONGRESSO NORDESTINO DE PRODUÇÃO ANIMAL 2023 NO MUNICÍPIO DE TERESINA(PI),2023-11-29,"CONTRATAÇÃO DE ATRAÇÕES ARTÍSTICAS, PARA APRESENTAÇÃO NO EVENTO: XVII CONGRESSO NORDESTINO DE PRODUÇÃO ANIMAL 2023, A SER REALIZADO NO PERIODO DE 29 DE NOVEMBRO A 01 DE DEZEMBRO DE 2023, NO MUNICÍPIO DE TERESINA(PI)."
11 de MAIO de 2024,55000.0,Apresentação PALOMA NUNES E BANDA nos FESTEJOS DE SÃO RAIMUNDO NONATO/PI,2024-05-09,"Apresentação musical da banda/artista PALOMA NUNES E BANDA na oportunidade dos FESTEJOS da cidade de SÃO RAIMUNDO NONATO/PI, que acontecerá dia 11 de MAIO de 2024."
16 de março de 2024,55000.0,Referente apoio ao evento Circuito AVASMPI de Vaquejada no município de Simplicío Mendes - PI,2024-03-13,Referente apoio ao evento Circuito AVASMPI de Vaquejada no município de Simplício Mendes - PI No dia 16 de março de 2024.
26 de abril de 2024,55000.0,"Referente a Realização do evento ""XII CAPRINOVA"" a ser realizada no Município de Queimada Nova - PI em 26 de abril de 2024.",2024-04-05,"Referente a Realização do evento ""XII CAPRINOVA"" a ser realizada no Município de Queimada Nova - PI em 26 de abril de 2024."
13 de agosto de 2023,60000.0,"FESTEJOS DE COCAL - Contratação de um show musical do artista JOTAVÊ, a apresentação acontece no dia 13 de agosto de 2023.",2023-08-11,"FESTEJOS DE COCAL - Contratação de um show musical do artista JOTAVÊ, a apresentação acontece no dia 13 de agosto de 2023."
20 de FEVEREIRO de 2023,60000.0,"REALIZAÇÃO DO CARNAVAL DE MANOEL EMÍDIO(PI) , COM SHOW MUSICAL DA BANDA PÉ DE OURO, NO DIA 20 DE FEVEREIRO DE 2023.",2023-02-17,"REALIZAÇÃO DO CARNAVAL DE MANOEL EMÍDIO(PI) , COM SHOW MUSICAL DA BANDA PÉ DE OURO, NO DIA 20 DE FEVEREIRO DE 2023."
21 de JULHO de 2024,70000.0,APRESENTAÇÃO DA BANDA CRISTIAN RIBEIRO NA 47ª EXPOCORRENTE,2024-07-19,"CONTRATAÇÃO DA BANDA/ARTISTA CRISTIAN RIBEIRO E BANDA, PARA APRESENTAÇÃO NA 47ª EXPOCORRENTE, NO MUNICÍPIO DE CORRENTE-PI, QUE SERÁ REALIZADO NO DIA 21 DE JULHO DE 2024."
03 de MAIO de 2024,70000.0,Apresentação do artista WALDO RAMOS nos festejos do município de LAGOA DO PIAUI,2024-04-26,"Apresentação musical da banda/artista WALDO RAMOS na oportunidade dos FESTEJOS DO MUNICIPIO de LAGOA DO PIAUI/PI, que acontecerá dia 03 de MAIO de 2024."
15 de Agosto de 2023,70000.0,"CONTRATAÇÃO DE SHOW MUSICAL DA BANDA EDY SACANA NO EVENTO ANIVERSÁRIO, NO MUNICIPIO DE GILBUÉS-PI,.",2023-08-07,"O objeto do presente contrato é a apresentação artística da banda EDY SACANA, contratado através de seu a empresário exclusivo empresa ACONTECE EVENTOS LIMITADA, a ser realizada no evento ANIVERSÁRIO, em Gilbués-PI , no dia 15 de Agosto de 2023, com duração de 02:00h cada show, sob a supervisão e realização da COORDENADORIA DE ENFRENTAMENTO ÀS DROGAS E FOMENTO AO LAZER DO ESTADO DO PIAUÍ-CENDFOL, com preços praticados de acordo com o mercado artístico, conforme artigo 25, inciso III da Lei nº 8.666/93, obedecendo aos preceitos no artigo 26 da mesma Lei que rege as Licitações Públicas."
29 de JUNHO de 2024,70000.0,ENDURO RALLY DA AMIZADE - 2ª EDIÇÃO,2024-06-25,"PATROCÍNIO DA 2ª EDIÇÃO DO PROJETO ""ENDURO RALLY DA AMIZADE"", QUE SERÁ REALIZADO DIAS 28 E 29 DE JUNHO DE 2024, ENTRE OS MUNICÍPIOS DE TERESINA E FLORIANO-PI"
13 de agosto de 2023,70000.0,"FESTEJOS COCAL - a apresentação artística com a atração musical do Cantor CRISTIAN RIBEIRO e BANDA, por ocasião do Evento do FESTEJA COCAL 2023, na Cidade de Cocal - Piauí, no dia 13 de agosto de 2023",2023-08-11,"FESTEJOS COCAL -  Apresentação artística com a atração musical do Cantor CRISTIAN RIBEIRO e BANDA, por ocasião do Evento do FESTEJA COCAL 2023, na Cidade de Cocal - Piauí, no dia 13 de agosto de 2023"
13 de FEVEREIRO de 2024,75000.0,"CONTRATAÇÃO DE EMPRESA PARA REALIZAÇÃO DO EVENTO ¿CARNAVAL 2024¿, NO DIA 13 DE FEVEREIRO DE 2024, NO MUNICÍPIO DE NOVA SANTA RITA-PI",2024-02-09,"CONTRATAÇÃO DE EMPRESA PARA REALIZAÇÃO DO EVENTO ¿CARNAVAL 2024¿, NO DIA 13 DE FEVEREIRO DE 2024, NO MUNICÍPIO DE NOVA SANTA RITA -PI."
18 de MARÇO de 2024,80000.0,"Á apresentação musical da banda/artista DAMASI  NETO na oportunidade dos	FESTEJOS	 da	cidade de INHUMA/PI, que acontecerá dia 18 de MARÇO de 2024.",2024-03-08,"Á apresentação musical da banda/artista DAMASIO NETO na oportunidade dos FESTEJOS da cidade de INHUMA/PI, que acontecerá dia 18 de MARÇO de 2024."
15/06/2024,80000.0,"apresentação artística conforme detalhamento abaixo, na cidade de Domingos Mourão - PI, a partir das 22:00 Horas com duração de 02:00 (duas horas), Participação de 20 integrantes entre 1ª festa Junina de Domingos Mourão, atração na Data Local 15/06/2024. SHOW da 1ª festa Junina de Domingos Mourão / PI, BANDA DAMASIO NETO",2024-06-14,"apresentação artística conforme detalhamento abaixo, na cidade de Domingos Mourão - PI, a partir das 22:00 Horas com duração de 02:00 (duas horas), Participação de 20 integrantes entre 1ª festa Junina de Domingos Mourão, atração na Data Local 15/06/2024. SHOW da 1ª festa Junina de Domingos Mourão / PI, BANDA DAMASIO NETO"
03 de MAIO de 2024,80000.0,Apresentação do artista DAMÁSIO NETO nos festejos do município de LAGOA DO PIAUI,2024-04-26,"Apresentação musical da banda/artista DAMASIO NETO na oportunidade dos FESTEJOS DO MUNICIPIO de LAGOA DO PIAUI/PI, que acontecerá dia 03 de MAIO de 2024."
28 de abril de 2024,80000.0,APRESETAÇÃO DAMÁSIO NETO NO ANIVERSÁRIO DE JACOBINA/PI,2024-04-25,"Apresentação musical da banda/artista DAMASIO NETO na oportunidade do ANIVERSÁRIO DA CIDADE de JACOBINA /PI, que acontecerá dia 28 de abril de 2024."
11 de FEVEREIRO de 2024,80000.0,CARNAVAL DO POVO NO MUNICÍPIO DE CASTELO DO PIAUÍ,2024-02-08,"CONTRATAÇÃO DE ATRAÇÃO MUSICAL(BANDA : Marcus Julião ) , PARA REALIZAÇÃO DO CARNAVAL DO POVO, EM CASTELO DO PIAUI, A SER REALIZADO DIA 11 DE FEVEREIRO DE 2024, NO MUNICÍPIO DE CASTELO DO PIAUÍ."
22/06/2024,80000.0,Contratação de show artístico da Banda MARCUS JULIÃO e bandas locais no ANIVERSÁRIO DA CIDADE do município de Palmeirais-PI. DIA 22/06/2024,2024-04-23,Contratação de show artístico da Banda MARCUS JULIÃO e bandas locais no ANIVERSÁRIO DA CIDADE do município de Palmeirais-PI. DIA 22/06/2024
04/11/2023,80000.0,Evento BANDA SOM E LOUVOR  - COCAL/PIAUI DIA 04/11/2023,2023-11-04,Evento BANDA SOM E LOUVOR  - COCAL/PIAUI DIA 04/11/2023
12 de JULHO de 2024,80000.0,"EVENTO FESTIVAL JUNINO DE CAJUEIRO DA PRAIA-PI, a ser realizado no munícipio de Cajueiro da Praia-PI, no dia  12 DE JULHO de 2024, com duração de 02:00 horas cada show,",2024-07-12,"EVENTO FESTIVAL JUNINO DE CAJUEIRO DA PRAIA-PI, a ser realizado no munícipio de Cajueiro da Praia-PI, no dia  12 DE JULHO de 2024, com duração de 02:00 horas cada show,"
01/05/2024,80000.0,Festa do trabalhador no municipio de Dirceu Arcoverde,2024-04-08,"REALIZAÇÃO DE APRESENTAÇÃO ARTÍSTICA DA BANDA DAMASIO NETO A SER REALIZADA NA FESTA DO TRABALHADOR NA CIDADE DE DIRCEU ARCOVERDE - PI, NO DIA 01/05/2024, COM DURAÇÃO DE 01:30 HRS"
12/08/2023,80000.0,FESTEJOS DE COCAL -contrato de apresentação musical com duração de 02 (duas) horas de apresentação. NO DIA 12/08/2023,2023-08-11,FESTEJOS DE COCAL -contrato de apresentação musical com duração de 02 (duas) horas de apresentação. NO DIA 12/08/2023
30 de SETEMBRO de 2023,80000.0,"FESTEJOS NA CIDADE DE TAMBORIL, NO MUNICÍPIO DE TAMBORIL DO PIAUÍ(PI)",2023-09-26,"CONTRATAÇÃO DE ATRAÇÕES MUSICAIS(BANDAS), PARA APRESENTAÇÃO DE SHOW ARTÍSTICO NO EVENTO: FESTEJOS NA CIDADE DE TAMBORIL EM TAMBORIL DO PIAUÍ, A SER REALIZADO DIA 30 DE SETEMBRO DE 2023, NO MUNICÍPIO DE TAMBORIL(PI)"
